Group,Recording_ID,Label,Sweep_Number,Line_Points,N_Peaks,Peak_Indices,Peak_Times_s
L + ACR2-CTZ,CTZ-1,Before,0,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",0,[],[]
L + ACR2-CTZ,CTZ-1,Before,1,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",0,[],[]
L + ACR2-CTZ,CTZ-1,Before,2,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",0,[],[]
L + ACR2-CTZ,CTZ-1,Before,3,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",6,"[2339, 2842, 3449, 4256, 4891, 6487]","[0.23390000000000002, 0.2842, 0.34490000000000004, 0.42560000000000003, 0.48910000000000003, 0.6487]"
L + ACR2-CTZ,CTZ-1,Before,4,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",37,"[1505, 1712, 1902, 2102, 2319, 2550, 2785, 3000, 3218, 3472, 3707, 3961, 4218, 4472, 4729, 4989, 5250, 5540, 5794, 6074, 6361, 6638, 6918, 7211, 7481, 7750, 8067, 8369, 8661, 8948, 9226, 9520, 9821, 10086, 10407, 10714, 11039]","[0.1505, 0.17120000000000002, 0.1902, 0.2102, 0.23190000000000002, 0.255, 0.2785, 0.3, 0.32180000000000003, 0.3472, 0.37070000000000003, 0.3961, 0.4218, 0.44720000000000004, 0.47290000000000004, 0.4989, 0.525, 0.554, 0.5794, 0.6074, 0.6361, 0.6638000000000001, 0.6918000000000001, 0.7211000000000001, 0.7481, 0.775, 0.8067000000000001, 0.8369000000000001, 0.8661000000000001, 0.8948, 0.9226000000000001, 0.9520000000000001, 0.9821000000000001, 1.0086, 1.0407, 1.0714000000000001, 1.1039]"
L + ACR2-CTZ,CTZ-1,Before,5,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",57,"[1276, 1412, 1534, 1661, 1798, 1931, 2072, 2219, 2370, 2515, 2675, 2828, 3005, 3165, 3337, 3504, 3665, 3834, 4009, 4185, 4361, 4535, 4708, 4890, 5070, 5245, 5431, 5618, 5806, 6001, 6193, 6400, 6581, 6768, 6962, 7169, 7368, 7557, 7754, 7938, 8126, 8317, 8518, 8703, 8891, 9089, 9263, 9447, 9640, 9828, 10020, 10213, 10424, 10626, 10828, 11023, 11223]","[0.12760000000000002, 0.14120000000000002, 0.1534, 0.1661, 0.17980000000000002, 0.19310000000000002, 0.20720000000000002, 0.22190000000000001, 0.23700000000000002, 0.2515, 0.2675, 0.2828, 0.3005, 0.3165, 0.3337, 0.3504, 0.3665, 0.3834, 0.40090000000000003, 0.41850000000000004, 0.43610000000000004, 0.4535, 0.4708, 0.48900000000000005, 0.507, 0.5245000000000001, 0.5431, 0.5618000000000001, 0.5806, 0.6001000000000001, 0.6193000000000001, 0.64, 0.6581, 0.6768000000000001, 0.6962, 0.7169, 0.7368, 0.7557, 0.7754000000000001, 0.7938000000000001, 0.8126, 0.8317, 0.8518, 0.8703000000000001, 0.8891, 0.9089, 0.9263, 0.9447000000000001, 0.9640000000000001, 0.9828, 1.002, 1.0213, 1.0424, 1.0626, 1.0828, 1.1023, 1.1223]"
L + ACR2-CTZ,CTZ-1,Before,6,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",73,"[1268, 1370, 1465, 1564, 1667, 1776, 1891, 2005, 2124, 2244, 2359, 2481, 2606, 2732, 2860, 2986, 3115, 3242, 3368, 3496, 3625, 3752, 3881, 4006, 4133, 4266, 4402, 4544, 4684, 4820, 4959, 5091, 5234, 5372, 5509, 5647, 5786, 5926, 6063, 6203, 6343, 6491, 6636, 6768, 6900, 7041, 7190, 7340, 7495, 7638, 7783, 7925, 8074, 8228, 8380, 8525, 8677, 8818, 8969, 9111, 9256, 9402, 9561, 9712, 9864, 10021, 10177, 10333, 10492, 10650, 10803, 10954, 11109]","[0.1268, 0.137, 0.14650000000000002, 0.1564, 0.16670000000000001, 0.1776, 0.18910000000000002, 0.2005, 0.2124, 0.22440000000000002, 0.2359, 0.24810000000000001, 0.2606, 0.2732, 0.28600000000000003, 0.29860000000000003, 0.3115, 0.3242, 0.33680000000000004, 0.3496, 0.36250000000000004, 0.37520000000000003, 0.3881, 0.4006, 0.4133, 0.42660000000000003, 0.44020000000000004, 0.4544, 0.46840000000000004, 0.48200000000000004, 0.4959, 0.5091, 0.5234, 0.5372, 0.5509000000000001, 0.5647, 0.5786, 0.5926, 0.6063000000000001, 0.6203000000000001, 0.6343, 0.6491, 0.6636000000000001, 0.6768000000000001, 0.6900000000000001, 0.7041000000000001, 0.7190000000000001, 0.734, 0.7495, 0.7638, 0.7783, 0.7925000000000001, 0.8074, 0.8228000000000001, 0.8380000000000001, 0.8525, 0.8677, 0.8818, 0.8969, 0.9111, 0.9256000000000001, 0.9402, 0.9561000000000001, 0.9712000000000001, 0.9864, 1.0021, 1.0177, 1.0333, 1.0492000000000001, 1.065, 1.0803, 1.0954000000000002, 1.1109]"
L + ACR2-CTZ,CTZ-1,Before,7,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",85,"[1262, 1347, 1423, 1508, 1594, 1681, 1773, 1868, 1964, 2059, 2161, 2267, 2376, 2478, 2583, 2689, 2799, 2906, 3013, 3123, 3234, 3346, 3461, 3576, 3680, 3798, 3910, 4022, 4140, 4256, 4369, 4481, 4592, 4714, 4831, 4953, 5070, 5191, 5304, 5421, 5545, 5665, 5789, 5911, 6035, 6156, 6281, 6401, 6520, 6646, 6768, 6890, 7012, 7139, 7261, 7386, 7514, 7638, 7764, 7893, 8015, 8138, 8264, 8389, 8515, 8642, 8771, 8900, 9029, 9160, 9296, 9426, 9559, 9684, 9821, 9954, 10085, 10211, 10339, 10477, 10611, 10749, 10882, 11014, 11146]","[0.1262, 0.13470000000000001, 0.1423, 0.15080000000000002, 0.15940000000000001, 0.1681, 0.1773, 0.18680000000000002, 0.19640000000000002, 0.2059, 0.21610000000000001, 0.2267, 0.2376, 0.24780000000000002, 0.25830000000000003, 0.26890000000000003, 0.27990000000000004, 0.2906, 0.3013, 0.3123, 0.3234, 0.3346, 0.3461, 0.35760000000000003, 0.368, 0.3798, 0.391, 0.4022, 0.41400000000000003, 0.42560000000000003, 0.4369, 0.4481, 0.4592, 0.47140000000000004, 0.48310000000000003, 0.4953, 0.507, 0.5191, 0.5304, 0.5421, 0.5545, 0.5665, 0.5789000000000001, 0.5911000000000001, 0.6035, 0.6156, 0.6281, 0.6401, 0.652, 0.6646000000000001, 0.6768000000000001, 0.6890000000000001, 0.7012, 0.7139, 0.7261000000000001, 0.7386, 0.7514000000000001, 0.7638, 0.7764000000000001, 0.7893, 0.8015, 0.8138000000000001, 0.8264, 0.8389000000000001, 0.8515, 0.8642000000000001, 0.8771, 0.89, 0.9029, 0.916, 0.9296000000000001, 0.9426, 0.9559000000000001, 0.9684, 0.9821000000000001, 0.9954000000000001, 1.0085, 1.0211000000000001, 1.0339, 1.0477, 1.0611000000000002, 1.0749, 1.0882, 1.1014000000000002, 1.1146]"
L + ACR2-CTZ,CTZ-1,Before,8,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",94,"[1259, 1333, 1398, 1472, 1550, 1635, 1716, 1804, 1889, 1978, 2067, 2155, 2246, 2339, 2430, 2524, 2622, 2718, 2812, 2913, 3016, 3116, 3210, 3310, 3409, 3513, 3612, 3716, 3820, 3924, 4031, 4139, 4241, 4342, 4447, 4551, 4654, 4758, 4864, 4974, 5081, 5190, 5301, 5416, 5520, 5630, 5742, 5855, 5965, 6076, 6183, 6290, 6400, 6508, 6622, 6741, 6849, 6963, 7075, 7187, 7300, 7412, 7523, 7638, 7750, 7863, 7975, 8093, 8207, 8330, 8456, 8571, 8688, 8816, 8939, 9059, 9178, 9296, 9419, 9536, 9654, 9769, 9891, 10014, 10141, 10261, 10380, 10490, 10613, 10734, 10852, 10966, 11083, 11211]","[0.1259, 0.1333, 0.1398, 0.1472, 0.155, 0.1635, 0.1716, 0.1804, 0.1889, 0.1978, 0.20670000000000002, 0.2155, 0.22460000000000002, 0.23390000000000002, 0.24300000000000002, 0.2524, 0.2622, 0.2718, 0.2812, 0.2913, 0.30160000000000003, 0.3116, 0.321, 0.331, 0.34090000000000004, 0.3513, 0.3612, 0.37160000000000004, 0.382, 0.3924, 0.4031, 0.41390000000000005, 0.42410000000000003, 0.43420000000000003, 0.44470000000000004, 0.4551, 0.46540000000000004, 0.4758, 0.4864, 0.4974, 0.5081, 0.519, 0.5301, 0.5416000000000001, 0.552, 0.5630000000000001, 0.5742, 0.5855, 0.5965, 0.6076, 0.6183000000000001, 0.629, 0.64, 0.6508, 0.6622, 0.6741, 0.6849000000000001, 0.6963, 0.7075, 0.7187, 0.73, 0.7412000000000001, 0.7523000000000001, 0.7638, 0.775, 0.7863, 0.7975, 0.8093, 0.8207, 0.8330000000000001, 0.8456, 0.8571000000000001, 0.8688, 0.8816, 0.8939, 0.9059, 0.9178000000000001, 0.9296000000000001, 0.9419000000000001, 0.9536, 0.9654, 0.9769000000000001, 0.9891000000000001, 1.0014, 1.0141, 1.0261, 1.038, 1.0490000000000002, 1.0613000000000001, 1.0734000000000001, 1.0852, 1.0966, 1.1083, 1.1211]"
L + ACR2-CTZ,CTZ-1,Before,9,"[[0.09253491158991412, 9.35768248542908], [1.1397798919024678, 8.285401359437017]]",101,"[1256, 1321, 1381, 1448, 1520, 1593, 1672, 1752, 1830, 1909, 1991, 2076, 2163, 2251, 2338, 2425, 2514, 2600, 2689, 2781, 2874, 2966, 3057, 3147, 3239, 3328, 3419, 3513, 3611, 3706, 3801, 3903, 3997, 4093, 4194, 4289, 4385, 4479, 4578, 4676, 4777, 4878, 4979, 5085, 5185, 5283, 5385, 5488, 5587, 5689, 5789, 5890, 5992, 6095, 6197, 6297, 6397, 6499, 6601, 6704, 6803, 6902, 7008, 7109, 7212, 7317, 7425, 7529, 7633, 7741, 7851, 7959, 8068, 8179, 8288, 8395, 8503, 8611, 8720, 8829, 8932, 9040, 9144, 9257, 9364, 9477, 9592, 9700, 9805, 9918, 10030, 10141, 10251, 10361, 10467, 10580, 10691, 10808, 10927, 11039, 11148]","[0.12560000000000002, 0.1321, 0.1381, 0.1448, 0.152, 0.1593, 0.16720000000000002, 0.1752, 0.183, 0.19090000000000001, 0.1991, 0.2076, 0.21630000000000002, 0.22510000000000002, 0.2338, 0.24250000000000002, 0.2514, 0.26, 0.26890000000000003, 0.2781, 0.2874, 0.29660000000000003, 0.3057, 0.31470000000000004, 0.3239, 0.33280000000000004, 0.34190000000000004, 0.3513, 0.36110000000000003, 0.37060000000000004, 0.3801, 0.39030000000000004, 0.3997, 0.4093, 0.4194, 0.4289, 0.4385, 0.4479, 0.45780000000000004, 0.4676, 0.4777, 0.4878, 0.4979, 0.5085000000000001, 0.5185000000000001, 0.5283, 0.5385, 0.5488000000000001, 0.5587, 0.5689000000000001, 0.5789000000000001, 0.5890000000000001, 0.5992000000000001, 0.6095, 0.6197, 0.6297, 0.6397, 0.6499, 0.6601, 0.6704, 0.6803, 0.6902, 0.7008, 0.7109000000000001, 0.7212000000000001, 0.7317, 0.7425, 0.7529, 0.7633000000000001, 0.7741, 0.7851, 0.7959, 0.8068000000000001, 0.8179000000000001, 0.8288000000000001, 0.8395, 0.8503000000000001, 0.8611000000000001, 0.872, 0.8829, 0.8932, 0.904, 0.9144, 0.9257000000000001, 0.9364, 0.9477000000000001, 0.9592, 0.9700000000000001, 0.9805, 0.9918, 1.0030000000000001, 1.0141, 1.0251000000000001, 1.0361, 1.0467, 1.058, 1.0691000000000002, 1.0808, 1.0927, 1.1039, 1.1148]"
L + ACR2-CTZ,CTZ-1,After,0,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,1,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,2,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,3,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",0,[],[]
L + ACR2-CTZ,CTZ-1,After,4,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",6,"[1920, 2304, 2701, 3142, 3692, 4629]","[0.192, 0.23040000000000002, 0.2701, 0.31420000000000003, 0.36920000000000003, 0.46290000000000003]"
L + ACR2-CTZ,CTZ-1,After,5,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",35,"[1450, 1622, 1791, 1972, 2162, 2350, 2557, 2766, 2985, 3233, 3462, 3683, 3934, 4191, 4512, 4798, 5091, 5408, 5693, 6008, 6304, 6612, 6916, 7189, 7614, 7940, 8276, 8611, 8930, 9208, 9546, 9847, 10214, 10530, 10926]","[0.14500000000000002, 0.1622, 0.1791, 0.19720000000000001, 0.2162, 0.23500000000000001, 0.25570000000000004, 0.2766, 0.2985, 0.32330000000000003, 0.3462, 0.3683, 0.3934, 0.41910000000000003, 0.45120000000000005, 0.4798, 0.5091, 0.5408000000000001, 0.5693, 0.6008, 0.6304000000000001, 0.6612, 0.6916, 0.7189, 0.7614000000000001, 0.794, 0.8276, 0.8611000000000001, 0.893, 0.9208000000000001, 0.9546, 0.9847, 1.0214, 1.0530000000000002, 1.0926]"
L + ACR2-CTZ,CTZ-1,After,6,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",55,"[1284, 1404, 1520, 1639, 1764, 1890, 2028, 2166, 2314, 2459, 2622, 2792, 2952, 3101, 3263, 3435, 3595, 3766, 3945, 4121, 4298, 4488, 4668, 4856, 5053, 5234, 5422, 5620, 5787, 5952, 6134, 6321, 6512, 6700, 6886, 7090, 7297, 7494, 7691, 7902, 8130, 8312, 8522, 8723, 8937, 9146, 9349, 9606, 9847, 10066, 10289, 10513, 10739, 10979, 11203]","[0.12840000000000001, 0.1404, 0.152, 0.16390000000000002, 0.1764, 0.189, 0.2028, 0.21660000000000001, 0.23140000000000002, 0.2459, 0.2622, 0.2792, 0.2952, 0.31010000000000004, 0.32630000000000003, 0.3435, 0.35950000000000004, 0.3766, 0.3945, 0.4121, 0.4298, 0.44880000000000003, 0.46680000000000005, 0.48560000000000003, 0.5053, 0.5234, 0.5422, 0.562, 0.5787, 0.5952000000000001, 0.6134000000000001, 0.6321, 0.6512, 0.67, 0.6886, 0.7090000000000001, 0.7297, 0.7494000000000001, 0.7691, 0.7902, 0.8130000000000001, 0.8312, 0.8522000000000001, 0.8723000000000001, 0.8937, 0.9146000000000001, 0.9349000000000001, 0.9606, 0.9847, 1.0066, 1.0289000000000001, 1.0513000000000001, 1.0739, 1.0979, 1.1203]"
L + ACR2-CTZ,CTZ-1,After,7,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",68,"[1270, 1365, 1449, 1537, 1634, 1737, 1839, 1946, 2062, 2175, 2291, 2409, 2523, 2643, 2774, 2898, 3040, 3170, 3303, 3438, 3572, 3718, 3855, 3996, 4133, 4279, 4418, 4559, 4718, 4870, 5012, 5159, 5307, 5458, 5620, 5770, 5934, 6090, 6238, 6395, 6553, 6720, 6881, 7042, 7205, 7356, 7507, 7687, 7856, 8019, 8195, 8362, 8545, 8707, 8881, 9059, 9213, 9369, 9535, 9731, 9892, 10083, 10266, 10436, 10616, 10785, 10945, 11125]","[0.127, 0.1365, 0.1449, 0.1537, 0.16340000000000002, 0.17370000000000002, 0.1839, 0.19460000000000002, 0.20620000000000002, 0.2175, 0.2291, 0.2409, 0.2523, 0.26430000000000003, 0.27740000000000004, 0.2898, 0.304, 0.317, 0.33030000000000004, 0.3438, 0.3572, 0.3718, 0.3855, 0.3996, 0.4133, 0.4279, 0.4418, 0.4559, 0.4718, 0.48700000000000004, 0.5012, 0.5159, 0.5307000000000001, 0.5458000000000001, 0.562, 0.5770000000000001, 0.5934, 0.609, 0.6238, 0.6395000000000001, 0.6553, 0.672, 0.6881, 0.7042, 0.7205, 0.7356, 0.7507, 0.7687, 0.7856000000000001, 0.8019000000000001, 0.8195, 0.8362, 0.8545, 0.8707, 0.8881, 0.9059, 0.9213, 0.9369000000000001, 0.9535, 0.9731000000000001, 0.9892000000000001, 1.0083, 1.0266, 1.0436, 1.0616, 1.0785, 1.0945, 1.1125]"
L + ACR2-CTZ,CTZ-1,After,8,"[[0.01985904039034969, 11.79933093843006], [1.1011276768772023, 8.54761032831101]]",82,"[1264, 1342, 1408, 1486, 1569, 1656, 1744, 1834, 1927, 2026, 2125, 2229, 2334, 2440, 2549, 2657, 2763, 2873, 2989, 3101, 3215, 3331, 3447, 3562, 3675, 3789, 3899, 4021, 4143, 4262, 4387, 4515, 4638, 4764, 4887, 5010, 5127, 5246, 5374, 5499, 5621, 5743, 5875, 6000, 6131, 6256, 6378, 6500, 6635, 6759, 6886, 7015, 7145, 7269, 7405, 7529, 7656, 7791, 7938, 8083, 8234, 8384, 8522, 8653, 8792, 8926, 9066, 9211, 9355, 9509, 9648, 9778, 9917, 10052, 10187, 10328, 10467, 10614, 10761, 10903, 11045, 11196]","[0.1264, 0.1342, 0.1408, 0.1486, 0.1569, 0.1656, 0.1744, 0.1834, 0.1927, 0.2026, 0.21250000000000002, 0.22290000000000001, 0.23340000000000002, 0.24400000000000002, 0.2549, 0.2657, 0.2763, 0.2873, 0.2989, 0.31010000000000004, 0.3215, 0.3331, 0.3447, 0.3562, 0.3675, 0.3789, 0.3899, 0.4021, 0.4143, 0.4262, 0.43870000000000003, 0.4515, 0.46380000000000005, 0.47640000000000005, 0.4887, 0.501, 0.5127, 0.5246000000000001, 0.5374, 0.5499, 0.5621, 0.5743, 0.5875, 0.6, 0.6131, 0.6256, 0.6378, 0.65, 0.6635, 0.6759000000000001, 0.6886, 0.7015, 0.7145, 0.7269, 0.7405, 0.7529, 0.7656000000000001, 0.7791, 0.7938000000000001, 0.8083, 0.8234, 0.8384, 0.8522000000000001, 0.8653000000000001, 0.8792000000000001, 0.8926000000000001, 0.9066000000000001, 0.9211, 0.9355, 0.9509000000000001, 0.9648, 0.9778, 0.9917, 1.0052, 1.0187, 1.0328, 1.0467, 1.0614000000000001, 1.0761, 1.0903, 1.1045, 1.1196000000000002]"
